Day,coronavirus: (United States),kobe: (United States),wuhan: (United States),Symptom: (United States),SARS: (United States)
12/1/2019,0,0,0,1.306666667,0
12/2/2019,0,0,0,1.333333333,0
12/3/2019,0,0,0,1.466666667,0
12/4/2019,0,0,0,1.44,0
12/5/2019,0,0,0,1.44,0
12/6/2019,0,0,0,1.386666667,0
12/7/2019,0,0,0,1.28,0
12/8/2019,0,0,0,1.28,0
12/9/2019,0,0,0,1.44,0
12/10/2019,0,0,0,1.44,0
12/11/2019,0,0,0,1.413333333,0
12/12/2019,0,0,0,1.36,0
12/13/2019,0,0,0,1.333333333,0
12/14/2019,0,0,0,1.306666667,0
12/15/2019,0,0,0,1.28,0
12/16/2019,0,0,0,1.413333333,0
12/17/2019,0,0,0,1.413333333,0
12/18/2019,0,0,0,1.386666667,0
12/19/2019,0,0,0,1.333333333,0
12/20/2019,0,0,0,1.386666667,0
12/21/2019,0,0,0,1.333333333,0
12/22/2019,0,0,0,1.333333333,0
12/23/2019,0,0,0,1.413333333,0
12/24/2019,0,0,0,1.386666667,0
12/25/2019,0,0,0,1.253333333,0
12/26/2019,0,0,0,1.493333333,0
12/27/2019,0,0,0,1.546666667,0
12/28/2019,0,0,0,1.52,0
12/29/2019,0,0,0,1.466666667,0
12/30/2019,0,0,0,1.546666667,0
12/31/2019,0,0,0,1.493333333,0.026666667
1/1/2020,0,0,0,1.306666667,0
1/2/2020,0,0,0,1.546666667,0
1/3/2020,0,0,0,1.6,0
1/4/2020,0,0,0,1.546666667,0
1/5/2020,0,0,0,1.466666667,0
1/6/2020,0,0,0,1.493333333,0
1/7/2020,0,0,0,1.573333333,0
1/8/2020,0,0,0,1.573333333,0
1/9/2020,0,0,0,1.626666667,0
1/10/2020,0,0,0,1.52,0
1/11/2020,0,0,0,1.413333333,0
1/12/2020,0,0,0,1.44,0
1/13/2020,0,0,0,1.52,0
1/14/2020,0,0,0,1.573333333,0
1/15/2020,0,0,0,1.6,0
1/16/2020,0,0,0,1.52,0.026666667
1/17/2020,0,0,0,1.466666667,0.026666667
1/18/2020,0,0,0,1.44,0.026666667
1/19/2020,0,0,0,1.413333333,0.026666667
1/20/2020,0,0,0.08,1.493333333,0.053333333
1/21/2020,2,0,0.4,1.76,0.16
1/22/2020,2,0,0.48,1.786666667,0.16
1/23/2020,2,0,0.56,1.813333333,0.16
1/24/2020,5,0,0.72,2.026666667,0.186666667
1/25/2020,6,0,0.72,2.08,0.186666667
1/26/2020,6,100,0.72,2.133333333,0.186666667
1/27/2020,7,51,0.72,2.48,0.186666667
1/28/2020,7,21,0.72,2.613333333,0.16
1/29/2020,7,13,0.64,2.533333333,0.186666667
1/30/2020,8,8,0.64,2.666666667,0.186666667
1/31/2020,7,6,0.48,2.586666667,0.16
2/1/2020,6,8,0.48,2.186666667,0.133333333
2/2/2020,5,5,0.4,2,0.106666667
2/3/2020,4,3,0.4,1.92,0.106666667
2/4/2020,4,2,0.32,2.053333333,0.08
2/5/2020,4,2,0.24,1.92,0.053333333
2/6/2020,4,2,0.24,1.92,0.08
2/7/2020,4,2,0.32,1.866666667,0.08
2/8/2020,4,2,0.32,1.76,0.08
2/9/2020,3,2,0.24,1.84,0.133333333
2/10/2020,3,1,0.24,1.866666667,0.08
2/11/2020,3,1,0.24,1.92,0.08
2/12/2020,3,1,0.16,1.84,0.053333333
2/13/2020,3,1,0.16,1.786666667,0.053333333
2/14/2020,3,1,0.16,1.6,0.026666667
2/15/2020,2,1,0.16,1.6,0.026666667
2/16/2020,2,1,0.16,1.653333333,0.026666667
